p4/6_p10


p4/6_C0

p4/6_C6	 <---> p10_C9	 Total Correlation: 0.3416455473778653	 Name: Inhibitory
p4/6_C6	 <---> p10_C2	 Total Correlation: 0.3963912705684935	 Name: Inhibitory
p4/6_C6	 <---> p10_C11	 Total Correlation: 0.4785601765826687	 Name: Inhibitory
p4/6_C6	 <---> p10_C5	 Total Correlation: 0.5445691113299175	 Name: Inhibitory
p4/6_C6	 <---> p10_C7	 Total Correlation: 0.6057543695585269	 Name: 
p4/6_C6	 <---> p10_C1	 Total Correlation: 0.7176111780387678	 Name: Inhibitory
p4/6_C6	 <---> p10_C3	 Total Correlation: 0.9957139852582141	 Name: 
p4/6_C6	 <---> p10_C8	 Total Correlation: 1.3930077672233836	 Name: Inhibitory
p4/6_C6	 <---> p10_C0	 Total Correlation: 2.114959219474397	 Name: 
p4/6_C6	 <---> p10_C4	 Total Correlation: 4.057762081051911	 Name: 
p4/6_C6	 <---> p10_C6	 Total Correlation: 4.814733359011905	 Name: 


p4/6_C7

p4/6_C7	 <---> p10_C4	 Total Correlation: 0.4394377387884422	 Name: Excitatory
p4/6_C7	 <---> p10_C7	 Total Correlation: 0.5094875372149166	 Name: Excitatory
p4/6_C7	 <---> p10_C6	 Total Correlation: 0.6792490170973916	 Name: Excitatory
p4/6_C7	 <---> p10_C9	 Total Correlation: 1.0322403841866346	 Name: 
p4/6_C7	 <---> p10_C2	 Total Correlation: 1.3997088745081119	 Name: 
p4/6_C7	 <---> p10_C3	 Total Correlation: 1.569203448111782	 Name: 
p4/6_C7	 <---> p10_C0	 Total Correlation: 2.212445416597822	 Name: 
p4/6_C7	 <---> p10_C10	 Total Correlation: 2.3292487126272228	 Name: 
p4/6_C7	 <---> p10_C1	 Total Correlation: 2.4403521557312806	 Name: 
p4/6_C7	 <---> p10_C11	 Total Correlation: 3.460031409385366	 Name: 
p4/6_C7	 <---> p10_C5	 Total Correlation: 6.516326450540156	 Name: 
p4/6_C7	 <---> p10_C8	 Total Correlation: 17.41565333388151	 Name: 


p4/6_C8

p4/6_C8	 <---> p10_C9	 Total Correlation: 0.652657009802868	 Name: Inhibitory
p4/6_C8	 <---> p10_C10	 Total Correlation: 0.6627220563643749	 Name: Inhibitory
