p10_p15


p10_C0

p10_C5	 <---> p15_C10	 Total Correlation: 0.4205542142931002	 Name: Inhibitory
p10_C5	 <---> p15_C1	 Total Correlation: 0.5048147360168261	 Name: Inhibitory
p10_C5	 <---> p15_C7	 Total Correlation: 0.5607869370372559	 Name: 
p10_C5	 <---> p15_C3	 Total Correlation: 0.9156150266413183	 Name: 
p10_C5	 <---> p15_C0	 Total Correlation: 0.932064030955356	 Name: 
p10_C5	 <---> p15_C11	 Total Correlation: 1.0699893877302988	 Name: Inhibitory
p10_C5	 <---> p15_C12	 Total Correlation: 1.3308087543323053	 Name: 
p10_C5	 <---> p15_C6	 Total Correlation: 5.413221184517611	 Name: 


p10_C6

p10_C6	 <---> p15_C7	 Total Correlation: 0.4905692079889942	 Name: Excitatory
p10_C6	 <---> p15_C9	 Total Correlation: 0.5563418396740062	 Name: Excitatory
p10_C6	 <---> p15_C13	 Total Correlation: 0.5936203452907133	 Name: Excitatory
p10_C6	 <---> p15_C12	 Total Correlation: 0.6154361593722351	 Name: Excitatory
p10_C6	 <---> p15_C3	 Total Correlation: 0.6227364373752436	 Name: Excitatory
p10_C6	 <---> p15_C5	 Total Correlation: 0.6529785760858547	 Name: Excitatory
p10_C6	 <---> p15_C0	 Total Correlation: 0.6924262068262449	 Name: Excitatory
p10_C6	 <---> p15_C6	 Total Correlation: 0.7865639778729653	 Name: Excitatory
p10_C6	 <---> p15_C10	 Total Correlation: 1.217343598523348	 Name: Excitatory
p10_C6	 <---> p15_C2	 Total Correlation: 1.3802146974581808	 Name: 
p10_C6	 <---> p15_C4	 Total Correlation: 2.6188187308010606	 Name: 
p10_C6	 <---> p15_C1	 Total Correlation: 4.193507302746976	 Name: 
p10_C6	 <---> p15_C11	 Total Correlation: 8.191960512407597	 Name: 
p10_C6	 <---> p15_C8	 Total Correlation: 21.530699570090636	 Name: 


p10_C7

p10_C7	 <---> p15_C5	 Total Correlation: 0.19883766359299732	 Name: Excitatory
p10_C7	 <---> p15_C13	 Total Correlation: 0.22729882172542296	 Name: Excitatory
p10_C7	 <---> p15_C9	 Total Correlation: 0.23473827854738194	 Name: Excitatory
p10_C7	 <---> p15_C4	 Total Correlation: 0.2379196083259408	 Name: 
p10_C7	 <---> p15_C2	 Total Correlation: 0.2521618390179178	 Name: 
p10_C7	 <---> p15_C10	 Total Correlation: 0.32578196196203413	 Name: Excitatory
p10_C7	 <---> p15_C8	 Total Correlation: 0.33908127226919293	 Name: 
p10_C7	 <---> p15_C3	 Total Correlation: 0.3562890750958184	 Name: Excitatory
p10_C7	 <---> p15_C7	 Total Correlation: 0.36333708773162443	 Name: Excitatory
p10_C7	 <---> p15_C0	 Total Correlation: 0.44275010938556	 Name: Excitatory
p10_C7	 <---> p15_C12	 Total Correlation: 0.5384230266231893	 Name: Excitatory
p10_C7	 <---> p15_C1	 Total Correlation: 0.6449303530802096	 Name: 
p10_C7	 <---> p15_C6	 Total Correlation: 0.8143819807860173	 Name: Excitatory
p10_C7	 <---> p15_C11	 Total Correlation: 0.9319200343989004	 Name: 


p10_C8

p10_C8	 <---> p15_C1	 Total Correlation: 0.9154318207299533	 Name: Inhibitory
p10_C8	 <---> p15_C8	 Total Correlation: 1.0747094507277408	 Name: Inhibitory
p10_C8	 <---> p15_C2	 Total Correlation: 1.324095696535934	 Name: Inhibitory
p10_C8	 <---> p15_C10	 Total Correlation: 1.614576363986506	 Name: Inhibitory
p10_C8	 <---> p15_C5	 Total Correlation: 1.7552678305443947	 Name: 
p10_C8	 <---> p15_C11	 Total Correlation: 1.7613479416803828	 Name: Inhibitory
p10_C8	 <---> p15_C4	 Total Correlation: 1.770001612835869	 Name: Inhibitory
p10_C8	 <---> p15_C13	 Total Correlation: 1.9631379480029707	 Name: 
p10_C8	 <---> p15_C7	 Total Correlation: 2.2957317048659105	 Name: 
p10_C8	 <---> p15_C0	 Total Correlation: 2.6156688234266743	 Name: 
p10_C8	 <---> p15_C9	 Total Correlation: 4.2155979449997085	 Name: 
p10_C8	 <---> p15_C3	 Total Correlation: 5.522890576897124	 Name: 
